NU_ANO_CENSO,NO_UF,NO_MUNICIPIO,NO_CURSO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND
2019,São Paulo,Catanduva,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,54,275,44,7,37,0,34,4,4,0,2,0,0,35,1,7,1,0,0,96,16,80,0,77,13,4,1,1,0,0,74,5,17,0,0,0,19,6,13,0,13,4,0,1,1,0,0,15,1,3,0,0,0
2019,São Paulo,Hortolândia,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,46,761,44,8,36,0,39,3,2,0,0,0,0,28,4,10,1,0,1,213,44,169,0,131,41,14,16,10,1,0,121,13,53,1,2,23,31,6,25,0,17,9,2,2,1,0,0,15,2,8,0,1,5
2019,São Paulo,Sorocaba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,83,141,44,5,39,0,31,7,0,3,3,0,0,34,1,7,1,0,1,38,4,34,0,27,2,3,4,2,0,0,24,3,8,3,0,0,5,0,5,0,3,0,1,1,0,0,0,4,0,1,0,0,0
2019,São Paulo,Cubatão,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,50,532,45,4,41,0,31,4,4,1,4,1,0,25,5,13,1,0,1,183,38,145,0,116,26,14,8,15,4,0,93,15,68,2,2,3,40,12,28,0,24,6,5,0,4,1,0,21,6,12,0,1,0
2019,São Paulo,Votuporanga,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,45,253,45,5,40,1,35,5,2,1,0,1,0,27,4,11,2,0,1,96,18,78,1,79,10,4,1,0,1,0,66,7,19,1,0,3,15,3,12,0,14,1,0,0,0,0,0,10,1,4,0,0,0
2019,São Paulo,Registro,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,435,67,46,2,44,0,44,0,2,0,0,0,0,18,1,3,0,0,24,102,5,97,0,92,4,5,1,0,0,0,52,5,17,1,0,27,33,1,32,0,30,2,1,0,0,0,0,17,3,12,1,0,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,49,1552,46,11,35,0,32,10,0,2,1,1,0,25,5,12,3,1,0,73,20,53,0,58,10,0,2,2,1,0,45,8,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Osasco,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,480,78,47,11,36,0,29,8,6,1,2,1,0,23,3,12,1,0,8,56,9,47,0,34,11,8,1,1,1,0,29,1,16,1,0,9,18,3,15,0,10,4,3,1,0,0,0,11,0,5,0,0,2
2019,São Paulo,Boituva,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,75,293,49,6,43,0,38,3,5,2,1,0,0,41,2,6,0,0,0,93,16,77,0,64,13,9,4,2,1,0,69,3,19,0,1,1,11,4,7,0,7,1,2,1,0,0,0,10,0,0,0,0,1
2019,São Paulo,Caraguatatuba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,90,171,49,3,46,0,39,2,4,1,3,0,0,27,3,18,1,0,0,86,7,79,0,71,6,5,2,2,0,0,48,6,30,2,0,0,23,2,21,0,17,4,1,1,0,0,0,13,1,9,0,0,0
